                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                 1.6939,                0.87857,                0.91358,                0.94689,                0.85149,                0.90778,                0.47228,                 1.7376,                0.88811,                0.90953,               0.005578,               0.005578,               0.005578
                    137,                 1.6546,                0.87099,                0.91651,                0.91318,                0.87529,                0.91824,                0.47361,                  1.726,                0.87972,                0.91169,               0.005545,               0.005545,               0.005545
                    138,                 1.6205,                0.87503,                 0.9159,                0.90247,                0.85409,                0.89282,                0.45379,                 1.7255,                0.90598,                0.91769,               0.005512,               0.005512,               0.005512
                    139,                 1.5944,                 0.8326,                0.91176,                0.94327,                0.83584,                0.89577,                0.45349,                 1.7303,                 0.8767,                0.91545,               0.005479,               0.005479,               0.005479
                    140,                 1.6299,                0.87852,                0.90971,                0.93964,                0.84222,                0.88948,                0.46757,                 1.7448,                0.87547,                0.91673,               0.005446,               0.005446,               0.005446
                    141,                 1.6273,                0.87686,                0.91221,                0.92827,                0.86087,                0.91327,                0.46951,                 1.7218,                0.85046,                0.91071,               0.005413,               0.005413,               0.005413
                    142,                 1.6244,                0.87144,                0.91567,                 0.9358,                 0.8547,                0.90283,                0.48508,                 1.6993,                0.84171,                0.91086,                0.00538,                0.00538,                0.00538
                    143,                 1.6011,                0.84254,                 0.9096,                0.94319,                0.86516,                0.91262,                0.48867,                 1.6648,                 0.8176,                0.90346,               0.005347,               0.005347,               0.005347
                    144,                 1.5813,                0.82547,                 0.9047,                0.93893,                0.87339,                0.90794,                0.48331,                 1.6743,                0.82165,                0.90255,               0.005314,               0.005314,               0.005314
                    145,                   1.59,                0.84128,                 0.9097,                0.95521,                0.87162,                0.90747,                0.47989,                 1.7149,                0.82175,                0.90716,               0.005281,               0.005281,               0.005281
                    146,                 1.6066,                0.83207,                0.90863,                0.94639,                0.84044,                0.89954,                0.47053,                 1.7253,                0.88875,                0.90926,               0.005248,               0.005248,               0.005248
                    147,                 1.5849,                0.81511,                0.90307,                0.93958,                0.84803,                0.90944,                0.49133,                 1.6873,                0.84494,                0.90554,               0.005215,               0.005215,               0.005215
                    148,                 1.5943,                0.85112,                0.90489,                 0.9369,                0.83129,                0.90221,                0.47103,                 1.7234,                0.85596,                0.91308,               0.005182,               0.005182,               0.005182
